name,description,requirements,min_age,max_age,min_income,max_income,premium_amount,duration_years,category
CarSure Elite 815,Affordable policy with rapid claim settlement and towing support.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,24,56,100000,1200000,74081,27,Car
DriveWell Cover 864,"Full coverage for fire, flood, and collision risks.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,26,49,200000,500000,27018,17,Car
MotorMax Assurance 173,"Covers accidental damage, third-party liability, and theft protection.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,24,42,50000,800000,6776,12,Car
TurboProtect Plan 677,Zero-depreciation car insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,29,49,50000,1200000,82755,13,Car
WheelGuard Advantage 333,Premium plan with engine and gearbox protection included.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,25,53,200000,1200000,49809,21,Car
RideSafe Ultimate 905,Affordable policy with rapid claim settlement and towing support.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,21,61,100000,1200000,4965,13,Car
DriveSecure Plus 789,"Full coverage for fire, flood, and collision risks.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,22,55,200000,800000,37289,24,Car
LifeShield Secure 100,Secure your family's future with long-term life coverage and tax benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,22,41,100000,500000,95646,6,Life
FutureGuard Plan 570,Plan designed to support dependents with lump sum payout on demise.,Aadhar Card;PAN Card;Income Proof;Medical Records,18,58,200000,500000,36227,8,Life
SafeLife Elite 894,Affordable premium term plan with accidental death benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,18,51,50000,1200000,91681,7,Life
LifeCare Shield 326,Comprehensive life insurance with maturity return options.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,56,200000,500000,43909,13,Life
GuardianLife Plus 361,Flexible policy with riders for disability and critical illness.,Aadhar Card;PAN Card;Income Proof;Medical Records,24,52,300000,800000,72059,19,Life
TermSafe Protect 276,Secure your family's future with long-term life coverage and tax benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,59,100000,500000,77050,23,Life
SecureFuture Policy 714,Plan designed to support dependents with lump sum payout on demise.,Aadhar Card;PAN Card;Income Proof;Medical Records,20,49,200000,1200000,74120,12,Life
LifeAhead Assurance 258,Affordable premium term plan with accidental death benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,22,65,300000,500000,82509,18,Life
ProtectLife Advantage 908,Comprehensive life insurance with maturity return options.,Aadhar Card;PAN Card;Income Proof;Medical Records,28,42,200000,800000,79183,25,Life
PromisePlus Plan 822,Flexible policy with riders for disability and critical illness.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,40,300000,1200000,63012,5,Life
RideSafe Shield 590,Comprehensive two-wheeler insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,25,49,50000,1200000,55857,28,Bike
BikeGuard Pro 806,Budget-friendly bike policy covering damage and theft.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,28,45,300000,1200000,23185,20,Bike
TwoWheeler Secure 720,"Full coverage for accidents, floods, and fire incidents.",Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,27,60,300000,1200000,43652,5,Bike
MotoProtect Elite 553,Enhanced plan with zero depreciation and helmet cover.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,21,65,200000,800000,36951,17,Bike
WheelSafe Plan 534,Instant claim processing with online approvals.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,27,57,50000,500000,14744,9,Bike
FamilyCare Shield 475,Covers entire family under one premium with cashless treatment.,Aadhar Card;PAN Card;Family Member Details,30,48,200000,500000,91681,13,Family
HomeGuard Secure 186,Affordable family protection with annual health checkups.,Aadhar Card;PAN Card;Family Member Details,21,51,300000,1200000,68451,19,Family
TotalFamily Protect 249,"Full coverage for spouse, children, and dependent parents.",Aadhar Card;PAN Card;Family Member Details,24,44,100000,800000,3236,21,Family
FamilyWellness Plan 856,Includes maternity and newborn care along with hospitalization.,Aadhar Card;PAN Card;Family Member Details,27,62,50000,500000,72067,12,Family
GuardianFamily Pact 640,Comprehensive family wellness plan with ambulance cover.,Aadhar Card;PAN Card;Family Member Details,21,51,300000,1200000,3441,11,Family
